Descripción;BSDATO;SKU;Precio de venta
ATF D-VI C6/4;;199999;$78.867,00
ELAION AURO D1 020 GEN 3 4/4;;170995;$110.639,64
ELAION AURO D1 530 GEN 3 4/4;;171795;$110.639,64
ELAION AURO D2 530 4/4;;173895;$108.470,72
ELAION AURO DPF 530 4/4;;172695;$111.590,21
ELAION AURO FE 530 4/4;;171895;$107.957,98
ELAION AURO FR 540 4/4;;172995;$107.417,71
ELAION AURO PLUS 540 4/4;;172795;$107.929,41
ELAION FS 530 4/4;;176095;$98.885,45
ELAION FS 540 4/4;;176195;$98.885,45
ELAION MI 1540 4/4;;174195;$50.288,39
ELAION MI 2050 4/4;;174495;$39.283,04
ELAION TS 1040 4/4;;176395;$59.772,38
EXTRAVIDA XV300 C6/4;;189299;$46.293,00
EXTRA VIDA XV100 B20;;189080;$117.228,89
HIDRO 19 B20;;125980;$106.993,61
ATF D-III 12/1;;125396;$13.131,94
ELAION AURO D1 020 GEN 3 12/1;;170996;$29.846,10
ELAION AURO D1 530 GEN 3 12/1;;171796;$29.846,10
ELAION AURO D2 530 12/1;;173896;$29.260,76
ELAION AURO DPF 530 12/1;;172696;$30.168,81
ELAION AURO FE 530 12/1;;171896;$29.120,49
ELAION AURO FR 530 12/1;;172896;$28.972,88
ELAION AURO FR 540 12/1;;172996;$28.972,98
ELAION AURO PLUS 540 12/1;;172796;$29.109,10
ELAION F50 5W-30 12/1;;193296;$24.029,00
ELAION FS 530 12/1;;176096;$26.624,23
ELAION FS 540 12/1;;176196;$26.624,23
ELAION MI 1540 12/1;;174196;$13.945,67
ELAION TS 1040 12/1;;176396;$16.318,83
EXTRA VIDA XV300 C12/1;;189296;$15.102,47
HD SUPLEMENTO 1 40 C12/1;;108296;$9.874,21
HELICOIDAL 75W-90;;102096;$20.963,75
HIDRO ATF C12/1;;125496;$10.583,78
HIPOIDAL 80W90 C12/1;;123096;$10.952,85
RoD 2T X100 cc;;178122;$2.149,39
RoD 2T X1lt;;178196;$7.908,72
RoD 2T X200cc;;178125;$2.799,97
RoD 4T 10W-30 X1 lt;;178396;$13.658,45
RoD 4T 10W-40 X1 lt;;178496;$13.658,45
RoD 4T 10W-50 X1lt;;178596;$21.603,11
Grasa 62 EP Surt (1kg) Ypf Grasas Un;;617000;$7.173,00
DESC LUBES ESTACIONES 1 UN;;12171;$10,00
Cbio de Aceite (Mano de obra) Boxes;;15018;$15.000,00
ELAION MOTO 2T 40X200;;107925;$2.191,00
ELAION MOTO 2T 60X100;;107922;$1.668,00
ELAION MOTO 4T 10W-50 12/1;;107796;$16.717,00
Elaion Moto Cadenas aerosol Ypf 220 cc Un;;108408;$8.402,00
ELAION NAUTICO 2T;;106496;$13.139,11
KRIOX AUTOMOTRIZ INORGANICO C12/1;;185296;$9.404,79
KRIOX AUTOMOTRIZ ORGANICO AMARILLO C12/1;;184596;$9.967,20
KRIOX AUTOMOTRIZ ORGANICO FUCSIA C12/1;;185496;$9.967,20
KRIOX AUTOMOTRIZ ORGANICO VIOLETA C12/1;;184696;$9.967,20
LAVA PARABRISAS 12/1 L;;504896;$5.240,08
LAVA PARABRISAS 30/ 50ML;;187909;$4.381,90
LIMPIA MOTORES 12/400 ML;;505036;$7.635,82
LIMPIA TAPIZADOS 12/400 ML;;505236;$7.635,82
LIQ. P/ FRENOS HIDR ULICOS DOT4 12X1;;114796;$22.293,22
LIQ. P/FRENOS HIDR ULICOS DOT4 24X200 CC;;114731;$6.647,23
LIQUIDO P/FRENOS DOT 3 C12/1;;186696;$11.123,71
LIQUIDO P/FRENOS DOT 3 C24/200;;186631;$3.552,64
MULTIPROPOSITO LIMIT 25/220ML;;505408;$4.962,81
RENOVADOR C/SILIC. LAVANDA 12/400 ML;;505136;$7.635,82
RENOVADOR C/SILIC. VAINILLA 12/400ML;;505636;$7.635,82
Cbio Filtro aceite (Mano de obra) Boxes;0;15019;$5.000,00
FIL AC HU 10 002 z;HU10002Z;4011558073442;$20.138,00
FIL AC HU 6011 z Mann 1 Un;HU6011Z;16270;$12.407,00
FIL AC HU 6013 z;HU6013Z;4011558025656;$14.095,00
FIL AC HU 6017 z Mann 1 Un;HU6017Z;15980;$14.716,00
FIL AC HU 7030 z Mann 1 Un;HU7030Z;16290;$27.302,00
FIL AC HU 8006 z Mann 1 Un;HU8006Z;16229;$18.216,00
FIL AC HU 816/2X Mann Unidad Un;HU816/2X;15353;$12.222,00
FIL AC W 7032 MANN;W7032;4011558043179;$13.854,00
FIL AC W 7053 MANN;W7053;4011558076658;$8.468,00
FIL AC W 7056 Mann 1 Un;W7056;4011558094072;$9.914,00
FIL AC W 712/52 MANN;W712/52;4011558729509;$8.030,00
FIL AC W 712/75 MANN;W712/75;4011558744502;$6.414,00
FIL AC W 712/94;W712/94;15497;$37.253,00
FIL AC WIX WL10483;WL10483;765809966086;$8.541,00
FIL HU 7002 Z AC Mann Un;HU7002Z;15404;$8.897,00
FIL MANN AC W 914/28 Aceite Unidad Un;W914/28;15411;$15.102,00
Fil Mann Aceite W 6020;W6020;15524;$8.323,00
Fil Mann Aceite W 712/95 Un;W712/95;15502;$9.487,00
FILTRO AC 719/6X Mann;719/6X;18482;$13.384,00
Filtro AC HU 719/8 X Mann;HU719/8X;15088;$13.737,00
FILTRO AC W 719/45 Mann 1 Un;W719/45;15170;$31.160,00
FILTRO AC W 927/1 Mann;W927/1;18497;$13.279,00
FILTRO AC W940/34 Mann;W940/34;18963;$16.362,00
Filtro aceite  AC HU 718/1k Mann;HU718/1K;18485;$12.230,00
Filtro aceite  AC HU 719/7 Mann;HU719/7;18492;$18.370,00
Filtro aceite  AC W 610/1 Mann;W610/1;18571;$12.832,00
Filtro aceite  AC W 66 Mann;W66;18577;$7.865,00
Filtro aceite  AC W 67/2 Mann;W67/2;18579;$16.802,00
Filtro aceite  AC W 712/43 Mann;W712/43;18593;$7.861,00
Filtro aceite  AC W 712/73 Mann;W712/73;18597;$8.218,00
Filtro aceite  AC W 719/30 Mann;W719/30;18619;$9.013,00
Filtro aceite  AC W 811/81 Mann;W811/81;18627;$15.533,00
Filtro aceite  AC W 815/80 Mann;W815/80;18633;$1.760,00
Filtro aceite  AC W 910/1 Mann;W910/1;18643;$12.209,00
Filtro aceite  AC W 920/21 Mann;W920/21;18653;$13.811,00
Filtro aceite  AC W 920/34 Mann;W920/34;18658;$17.536,00
Filtro aceite  AC W 940/1 Mann;W940/1;18684;$12.920,00
Filtro aceite  AC W 940/81 Mann;W940/81;18689;$19.014,00
Filtro aceite AC W 68/3 Mann Lt;W68/3LT;18580;$9.954,00
Filtro aceite HU 612/2x Mann 1 Un;HU612/2X;15367;$11.003,00
Filtro aceite HU 7008 Z Mann 1 Un;HU7008Z;15407;$13.526,00
Filtro aceite HU 7012 z Mann 1 Un;HU7012Z;4011558056841;$13.667,00
Filtro aceite HU 7033 z Mann 1 Un;HU7033Z;4011558067465;$24.581,00
Filtro aceite HU 711/51 x Mann 1 Un;HU711/51X;15067;$7.295,00
Filtro aceite HU 716/2 x Mann 1 Un;HU716/2X;18484;$11.410,00
Filtro aceite HU 726/2 Mann 1 Un;HU726/2;18498;$15.197,00
Filtro aceite W 1323 Mann 1 Un;W1323;18570;$36.956,00
Filtro aceite W 610/3 Mann 1 Un;W610/3;18572;$6.812,00
Filtro aceite W 67/1 Mann 1 Un;W67/1;18578;$11.390,00
Filtro aceite W 7003 Mann 1 Un;W7003;4011558758004;$9.182,00
Filtro aceite W 7008 Mann 1 Un;W7008;15400;$7.800,00
Filtro aceite W 7015 Mann 1 Un;W7015;4011558044220;$11.703,00
Filtro aceite W 7030 Mann 1 Un;W7030;15507;$11.022,00
FILTRO ACEITE W 712/82 Mann;W712/82;15076;$13.765,00
Filtro aceite W 712/83 Mann 1 Un;W712/83;15143;$8.684,00
Filtro aceite W 719/27 Mann 1 Un;W719/27;18617;$11.566,00
Filtro aceite W 719/5 Mann 1 Un;W719/5;18622;$7.940,00
Filtro aceite W 75/3 Mann 1 Un;W75/3;18624;$6.720,00
Filtro aceite W 940 Mann 1 Un;W940;18683;$16.017,00
FILTRO ACEITE W719/50 Mann;W719/50;15056;$16.628,00
FILTRO ACEITE W811/80 Mann;W811/80;15066;$13.494,00
Filtro Mann Aceite HU 6006 z Un;HU6006Z;15521;$8.671,00
Filtro Mann Aceite HU 6007x Un;HU6007X;14993;$21.305,00
Filtro Mann Aceite HU 618 Un;HU618;15503;$14.750,00
Filtro Mann Aceite HU 7010z Un;HU7010Z;15514;$13.833,00
Filtro Mann Aceite HU 712/11x Un;HU712/11X;15470;$18.072,00
FIL AI 1C 22 034 Mann 1 Un;1C22034;16256;$17.435,00
FIL AI C 16 012 MANN;C16012;4011558084448;$26.566,00
FIL AI C 17 021/3 Mann;C17021/3;4011558352998;$12.310,00
FIL AI C 18 103 Mann 1 Un;C18103;4011558077648;$8.242,00
FIL AI C 2030 Mann Unidad Un;C2030;15361;$18.749,00
FIL AI C 21 001 Mann 1 Un;C21001;4011558041311;$300.291,00
FIL AI C 22 031/1;C22031/1;4011558340506;$19.365,00
FIL AI C 23 023 MANN;C23023;4011558342371;$9.944,00
FIL AI C 24 700;C24700;4011558338381;$13.239,00
FIL AI C 26 106 Mann Unidad Un;C26106;15352;$18.342,00
FIL AI C 26 135 Mann 1 Un;C26135;4011558086305;$14.120,00
FIL AI C 2672/1 Mann 1 Un;C2672/1;4011558380205;$14.072,00
FIL AI C 27 030 Mann 1 Un;C27030;16252;$14.949,00
FIL AI C 27 063 Mann;C27063;4011558802431;$15.903,00
FIL AI C 27 107 Mann Unidad Un;C27107;15391;$25.597,00
FIL AI C 28 100 Mann 1 Un;C28100;16232;$18.800,00
FIL AI C 33 017;C33017;15659;$21.281,00
FIL AI C 3495 Mann Aire Un;C3495;15412;$13.618,00
FIL AI C 36 006/1 Mann 1 Un;C36006/1;4011558029838;$26.267,00
FIL AI C 36 007 KIT;C36007KIT;4011558062545;$25.389,00
FIL AI C 37 012 Mann;C37012;4011558831158;$14.167,00
FIL AI C 3880 Mann 1 Un;C3880;16251;$21.918,00
FIL AI CU 21 000-2 Mann 1 Un;CU21000-2;15576;$14.505,00
FIL AI CU 2141 Mann 1 Un;CU2141;4011558540906;$12.248,00
FIL AI CU 26 006 Mann 1 Un;CU26006;16230;$11.642,00
FIL AI CUK 20 011 Mann 1 Un;CUK20011;7893390206601;$13.740,00
FIL AI MAN C 30 005 Mann 1 Un;MANC30005;16228;$19.522,00
FIL AI MANN C25 115 Unidad Un;C25115;15362;$16.131,00
FIL AI WIX WA9811;WIXWA9811;5904608981103;$15.555,00
FIL AIR C 16 010/1;RC16010/1;4011558061852;$23.870,00
FIL AIR CU 13 002/1 MANN;RCU13002/1;4011558658670;$16.342,00
FIL AIR CU 2545/1 MANN;RCU2545/1;4011558807948;$8.776,00
FIL AIR MANN C 16 134/2;RC16134/2;4011558801830;$18.653,00
FIL AIRE C 27 009 Mann 1 Un;C27009;15552;$19.009,00
FIL C 34 007 AIRE Mann 1 Un;C34007;15547;$13.320,00
FIL HA C 24 005 Mann Unidad Un;HAC24005;15372;$15.143,00
Fil Mann AI C 1724;C1724;18947;$18.750,00
Fil Mann AI C 2998/5;C2998/5;18945;$10.302,00
Fil Mann AI C 43 102;C43102;18936;$15.082,00
Fil Mann Aire C 24 012 Un;C24012;15505;$18.327,00
Fil Mann Aire C 29 015 Un;C29015;15501;$18.017,00
Filtro AI C 36 005- Mann;C36005-;15150;$14.684,00
FILTRO AI C2631 Mann;C2631;18965;$25.047,00
Filtro Aire  AI C 17 308/1 Mann;C17308/1;4011558805135;$40.754,00
FILTRO AIRE 31;31;9930;$16.200,00
Filtro Aire AI C 16 244 Mann;C16244;18073;$28.619,00
Filtro Aire AI C 17 278 Mann;C17278;18082;$23.796,00
Filtro Aire AI C 18 263/1 Mann;C18263/1;18094;$36.188,00
Filtro Aire AI C 2295 Mann;C2295;18154;$11.135,00
Filtro Aire AI C 23 121/2 Mann;C23121/2;18157;$19.452,00
Filtro Aire AI C 2329 Mann;C2329;18160;$19.409,00
Filtro Aire AI C 2496 (8) Mann;C2496(8);7893390200227;$9.266,00
Filtro Aire AI C 29 108. Mann Un;C29108.;18310;$7.950,00
Filtro Aire AI C 2964 Mann;C2964;18326;$19.988,00
Filtro Aire AI C 32 154/1 Mann;C32154/1;18371;$24.139,00
Filtro Aire AI C 32 338/1 Mann;C32338/1;18372;$30.360,00
Filtro Aire AI C 3282;C3282;15081;$15.047,00
Filtro Aire AI C 37 153/1 Mann;C37153/1;18425;$15.121,00
Filtro Aire AI C 3875 Mann;C3875;18434;$12.924,00
Filtro aire C 18 004 Mann 1 Un;C18004;15402;$14.121,00
Filtro aire C 1858/2 Mann 1 Un;C1858/2;18042;$10.362,00
Filtro aire C 1944 Mann 1 Un;C1944;18109;$6.430,00
Filtro aire C 21 002/1 Mann 1 Un;C21002/1;4011558088132;$15.055,00
Filtro aire C 21 014 Mann 1 Un;C21014;15979;$9.556,00
Filtro aire C 22 024 Mann 1 Un;C22024;15420;$27.541,00
Filtro aire C 2256 Mann 1 Un;C2256;18151;$5.430,00
Filtro aire C 2295/2 Mann 1 Un;C2295/2;18958;$10.307,00
Filtro aire C 23 021 Mann 1 Un;C23021;15510;$9.216,00
Filtro aire C 23 107 Mann 1 Un;C23107;18931;$28.292,00
Filtro aire C 2324 Mann 1 Un;C2324;18959;$17.916,00
Filtro aire C 24 034 Mann 1 Un;C24034;15550;$10.104,00
Filtro Aire C 2420- Mann 1 Un;C2420-;15165;$17.353,00
Filtro aire C 25 118/1 Mann 1 Un;C25118/1;18932;$14.962,00
Filtro aire C 2585 Mann 1 Un;C2585;18226;$6.683,00
Filtro aire C 29 003/1 Mann 1 Un;C29003/1;4011558072872;$10.474,00
Filtro aire C 30 100 Mann 1 Un;C30100;4011558081447;$11.222,00
Filtro aire C 30 125/4 Mann 1 Un;C30125/4;4011558075606;$13.339,00
Filtro aire C 30 904 Mann 1 Un;C30904;4011558080624;$12.021,00
Filtro aire C 3087/2 Mann 1 Un;C3087/2;4011558365608;$16.168,00
Filtro aire C 31 003/1 Mann 1 Un;C31003/1;15169;$25.187,00
Filtro aire C 33 006 Mann 1 Un;C33006;15519;$13.742,00
Filtro aire C 3324 Mann 1 Un;C3324;18962;$19.762,00
Filtro aire C 3366 Mann 1 Un;C3366;18416;$9.131,00
Filtro aire C 3485/2 Mann 1 Un;C3485/2;15345;$11.450,00
Filtro aire C 35 154 Mann 1 Un;C35154;15065;$15.683,00
Filtro aire C 3585 Mann 1 Un;C3585;15397;$15.494,00
Filtro aire C 36 003 Mann 1 Un;C36003;15392;$25.280,00
Filtro aire C 37 001/1 Mann Un;C37001/1;15350;$16.369,00
Filtro aire C 4151 Mann 1 Un;C4151;15148;$9.701,00
Filtro aire C 4371/1 Mann 1 Un;C4371/1;4011558365509;$14.299,00
FILTRO AIRE C3092 Mann;C3092;18927;$12.905,00
FILTRO AIRE C32199 Mann;C32199;15008;$20.126,00
Filtro aire CU 24 006 Mann 1 Un;CU24006;15530;$12.485,00
Filtro aire CU 2842 Mann 1 Un;CU2842;15386;$10.475,00
Filtro Mann Aire C 24 021 Un;C24021;15465;$20.703,00
Filtro Mann Aire C 30 011 Un;C30011;14988;$20.803,00
Filtro Mann Aire C 4312/1;C4312/1;15515;$20.704,00
Filtro aceite PH/5885 Motorcraft;PH/5885;11889;$4.508,00
Filtro aceite W 7050 Mann 1 Un;W7050;4011558068271;$11.575,00
FIL CO PU 9001/1 x MANN;PU9001/1X;4011558005610;$65.640,00
FIL CO PU 9008 z;PU9008Z;7790184753870;$18.964,00
FIL CO PU 9023 z;PU9023Z;4011558338503;$21.014,00
FIL CO WIX WF8494;WIXWF8494;5904608849403;$24.715,00
FIL CO WIX WK 10 034 z;WIXWK10034Z;4011558353834;$80.733,00
FIL CO WK 11 027;WK11027;4011558802462;$179.067,00
FIL CO WK 58/6 Mann;WK58/6;4011558621636;$7.726,00
FIL CO WK 69 Mann Un;WK69;15389;$46.240,00
FIL COMB MANN WK 828 x Mann 1 Un;WK828X;11093;$26.475,00
Fil Mann CO PU 936/2 X;PU936/2X;18939;$28.869,00
FIL WK 820/18 Mann 1 Un;WK820/18;15553;$73.137,00
FILTRO CO PU 723X Mann;PU723X;18957;$24.012,00
FILTRO CO WK 846 Mann;WK846;18123;$38.284,00
Filtro Comb CO WK 513 Mann;WK513;18714;$8.286,00
Filtro Comb CO WK 58 Mann;WK58;18726;$7.207,00
Filtro Comb CO WK 712/4 Mann;WK712/4;18775;$10.769,00
Filtro Comb CO WK 730/1 Mann;WK730/1;18785;$18.260,00
Filtro Comb CO WK 842/18 Mann Un;WK842/18;18818;$41.902,00
Filtro Comb CO WK 842/2 Mann;WK842/2;18819;$16.435,00
Filtro Comb CO WK 853/15 Mann;WK853/15;18841;$36.714,00
Filtro Comb CO WK 853/3 Mann;WK853/3;18842;$47.841,00
FILTRO COMB P 718/X Mann;P718/X;15017;$10.583,00
FILTRO COMB WK 815/80 Mann;WK815/80;15055;$17.593,00
Filtro combustible PU 835 x Mann 1 Un;PU835X;18886;$13.804,00
Filtro combustible WF10226 Wix Mann 1 Un;WF10226WIX;765809302945;$42.551,00
Filtro combustible WK 510 Mann 1 Un;WK510;18711;$9.483,00
Filtro combustible WK 58/3 Mann 1 Un;WK58/3;15424;$7.653,00
Filtro combustible WK 6002 Mann 1 Un;WK6002;15141;$7.653,00
Filtro combustible WK 613/3 Mann 1 Un;WK613/3;18739;$10.337,00
Filtro combustible WK 9016 Mann 1 Un;WK9016;15648;$30.452,00
Filtro Mann Comb WK 9034 z Un;WK9034Z;15504;$32.304,00
Garrafa 10 kgs;;12041;$16.600,00
Agua desmineralizada 1lt interior 1 Lt;;6504;$1.500,00
Agua desmineralizada 5 lts interior 1 Un;;6505;$3.500,00
Hielo interior playa 3 Kg;;4392;$3.500,00
Hielo Rolito Bolsa 4 Kg;;6092;$0,00
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0;0
